district,rooms,size,level,max_levels,price
Юнусабадский,3,57.0,4,4,52000.0
Яккасарайский,2,52.0,4,5,56000.0
Чиланзарский,2,42.0,4,4,37000.0
Чиланзарский,3,65.0,1,4,49500.0
Чиланзарский,3,70.0,3,5,55000.0
Чиланзарский,1,28.0,1,4,25500.0
Чиланзарский,1,30.0,2,4,21200.0
Яккасарайский,2,32.0,5,5,20000.0
Учтепинский,2,51.0,3,4,26200.0
Чиланзарский,1,30.0,1,4,22200.0
Учтепинский,2,30.0,2,5,24200.0
Чиланзарский,3,67.0,2,5,30200.0
Чиланзарский,1,30.0,2,4,21200.0
Чиланзарский,1,30.0,2,4,21200.0
Чиланзарский,1,30.0,2,4,21200.0
Чиланзарский,1,35.0,1,5,22500.0
Чиланзарский,1,43.0,4,4,22500.0
Чиланзарский,2,51.0,2,4,21200.0
Мирзо-Улугбекский,3,65.0,1,4,32500.0
Чиланзарский,2,51.0,2,4,22200.0
Чиланзарский,2,51.0,2,4,24200.0
Яккасарайский,4,90.0,5,5,45000.0
Чиланзарский,4,80.0,3,4,56000.0
Яшнободский,2,70.0,5,5,47000.0
Мирзо-Улугбекский,3,69.0,1,4,49900.0
Мирабадский,3,80.0,2,4,76000.0
Учтепинский,3,96.0,3,4,65000.0
Учтепинский,4,76.0,4,4,47500.0
Учтепинский,2,45.0,4,5,30000.0
Чиланзарский,1,27.0,3,4,32000.0
Учтепинский,2,65.0,3,9,44000.0
Чиланзарский,2,64.0,3,4,56500.0
Чиланзарский,1,42.0,5,9,35000.0
Чиланзарский,1,26.0,2,4,23500.0
Учтепинский,4,76.0,5,5,60500.0
Чиланзарский,3,80.0,2,4,68000.0
Чиланзарский,3,72.0,5,5,41500.0
Учтепинский,4,100.0,3,12,55000.0
Учтепинский,3,65.0,4,4,44000.0
Учтепинский,4,80.0,3,4,52500.0
Учтепинский,3,72.0,6,9,43000.0
Мирабадский,2,65.0,1,4,80000.0
Яккасарайский,2,63.0,1,5,42000.0
Яккасарайский,2,48.0,5,9,23000.0
Юнусабадский,3,70.0,3,4,47000.0
Яккасарайский,3,102.0,7,12,88784.0
Учтепинский,4,78.0,2,4,65000.0
Чиланзарский,4,100.0,1,4,97000.0
Чиланзарский,1,34.0,1,4,28500.0
Чиланзарский,2,42.0,2,4,34500.0
Учтепинский,4,80.0,4,5,51000.0
Учтепинский,3,90.0,1,12,51000.0
Чиланзарский,2,45.0,2,4,48000.0
Чиланзарский,3,70.0,5,5,40000.0
Чиланзарский,4,96.0,7,9,67000.0
Учтепинский,4,80.0,4,5,68000.0
Учтепинский,2,63.0,1,4,40500.0
Учтепинский,2,56.0,4,5,54000.0
Учтепинский,2,52.0,1,4,36000.0
Учтепинский,3,98.0,2,4,68000.0
Чиланзарский,3,96.0,9,9,63000.0
Шайхантахурский,4,93.0,4,4,63500.0
Шайхантахурский,2,60.0,9,9,49500.0
Чиланзарский,5,82.0,4,4,70000.0
Учтепинский,5,120.0,9,9,52000.0
Учтепинский,4,110.0,3,3,91000.0
Чиланзарский,4,95.0,2,4,83000.0
Учтепинский,2,56.0,1,4,40500.0
Чиланзарский,3,68.0,3,4,48000.0
Олмазорский,2,57.0,3,4,42000.0
Яшнободский,1,46.0,11,11,19765.0
Чиланзарский,2,45.0,4,4,34500.0
Юнусабадский,2,40.0,1,9,40000.0
Мирзо-Улугбекский,3,95.0,5,5,50000.0
Юнусабадский,2,53.0,1,9,68000.0
Олмазорский,2,72.0,4,9,41500.0
Мирзо-Улугбекский,3,65.0,4,5,41500.0
Юнусабадский,4,82.0,1,4,86000.0
Чиланзарский,1,42.0,3,9,25500.0
Чиланзарский,2,54.0,4,4,31500.0
Чиланзарский,1,42.0,1,4,26500.0
Учтепинский,1,20.0,3,9,14500.0
Чиланзарский,2,45.0,4,4,45000.0
Чиланзарский,1,46.0,2,5,30000.0
Чиланзарский,2,50.0,2,4,34500.0
Чиланзарский,1,36.0,2,4,27000.0
Учтепинский,4,80.0,6,9,59500.0
Учтепинский,3,72.0,3,9,48000.0
Учтепинский,4,78.0,5,5,47299.0
Чиланзарский,2,46.0,4,5,37000.0
Чиланзарский,2,60.0,2,4,38000.0
Олмазорский,2,58.0,5,9,29500.0
Чиланзарский,2,70.0,2,7,56000.0
Яккасарайский,2,68.0,6,9,45000.0
Учтепинский,4,100.0,3,5,61500.0
Чиланзарский,3,68.0,5,5,46500.0
Учтепинский,3,70.0,4,12,51000.0
Чиланзарский,3,90.0,5,9,58400.0
Чиланзарский,3,60.0,5,5,47000.0
Учтепинский,4,80.0,5,5,52500.0
Учтепинский,3,74.0,3,5,50000.0
Чиланзарский,2,48.0,2,5,41500.0
Чиланзарский,4,94.0,9,9,45000.0
Учтепинский,3,65.0,4,9,47500.0
Чиланзарский,4,85.0,3,4,52500.0
Учтепинский,1,42.0,5,5,26000.0
Чиланзарский,4,110.0,3,4,105000.0
Учтепинский,3,70.0,4,4,42000.0
Чиланзарский,3,68.0,2,5,53500.0
Яккасарайский,2,48.0,5,9,23000.0
Яшнободский,1,20.0,3,3,12500.0
Мирабадский,3,110.0,4,7,107000.0
Чиланзарский,2,46.0,3,4,35000.0
Чиланзарский,4,125.0,5,5,70000.0
Мирзо-Улугбекский,2,72.0,18,19,55000.0
Мирзо-Улугбекский,2,64.67,7,9,39414.0
Юнусабадский,2,70.0,4,9,60000.0
Юнусабадский,1,50.0,7,9,37000.0
Мирзо-Улугбекский,2,51.0,2,4,49000.0
Мирзо-Улугбекский,1,22.0,1,2,18000.0
Чиланзарский,2,54.0,1,4,42500.0
Чиланзарский,1,30.0,3,5,34500.0
Чиланзарский,1,42.0,5,9,37000.0
Яккасарайский,3,70.0,2,4,70000.0
Шайхантахурский,3,68.0,2,4,45800.0
